speciesId,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution
30170,urn:lsid:nmbe.ch:spidersp:034096,Salticidae,Icius,ildefonsus,,Chamberlin,1924,0,Mexico
30412,urn:lsid:nmbe.ch:spidersp:034295,Salticidae,Lyssomanes,burrera,,Jiménez & Tejas,1993,0,Mexico
30417,urn:lsid:nmbe.ch:spidersp:034301,Salticidae,Lyssomanes,deinognathus,,F. O. Pickard-Cambridge,1900,0,Mexico to Honduras
30420,urn:lsid:nmbe.ch:spidersp:034304,Salticidae,Lyssomanes,diversus,,Galiano,1980,0,Mexico
30423,urn:lsid:nmbe.ch:spidersp:034306,Salticidae,Lyssomanes,elegans,,F. O. Pickard-Cambridge,1900,0,Mexico to Ecuador and Brazil
30431,urn:lsid:nmbe.ch:spidersp:034313,Salticidae,Lyssomanes,jemineus,,"G. W. Peckham, E. G. Peckham & Wheeler",1889,0,Mexico to Guyana
30435,urn:lsid:nmbe.ch:spidersp:034318,Salticidae,Lyssomanes,leucomelas,,Mello-Leitão,1917,0,"Mexico, Brazil, Argentina"
30438,urn:lsid:nmbe.ch:spidersp:034321,Salticidae,Lyssomanes,malinche,,Galiano,1980,0,Mexico
30439,urn:lsid:nmbe.ch:spidersp:034322,Salticidae,Lyssomanes,mandibulatus,,F. O. Pickard-Cambridge,1900,0,Mexico to Panama
30453,urn:lsid:nmbe.ch:spidersp:034334,Salticidae,Lyssomanes,pescadero,,Jiménez & Tejas,1993,0,Mexico
30455,urn:lsid:nmbe.ch:spidersp:034336,Salticidae,Lyssomanes,placidus,,"G. W. Peckham, E. G. Peckham & Wheeler",1889,0,Mexico
30459,urn:lsid:nmbe.ch:spidersp:034340,Salticidae,Lyssomanes,reductus,,G. W. Peckham & E. G. Peckham,1896,0,Mexico to Panama
30464,urn:lsid:nmbe.ch:spidersp:034347,Salticidae,Lyssomanes,spiralis,,F. O. Pickard-Cambridge,1900,0,Mexico to Nicaragua
30470,urn:lsid:nmbe.ch:spidersp:034353,Salticidae,Lyssomanes,temperatus,,Galiano,1980,0,Mexico
30475,urn:lsid:nmbe.ch:spidersp:034357,Salticidae,Lyssomanes,unicolor,,Taczanowski,1871,1,"Mexico to Ecuador, Peru, Brazil"
30630,urn:lsid:nmbe.ch:spidersp:034475,Salticidae,Balmaceda,minor,,F. O. Pickard-Cambridge,1901,1,"Mexico, Guatemala, El Salvador"
30640,urn:lsid:nmbe.ch:spidersp:034482,Salticidae,Marpissa,pikei,,G. W. Peckham & E. G. Peckham,1888,1,"USA, Mexico, Cuba"
30662,urn:lsid:nmbe.ch:spidersp:034503,Salticidae,Martella,lineatipes,,F. O. Pickard-Cambridge,1900,0,Mexico to Costa Rica
30774,urn:lsid:nmbe.ch:spidersp:034603,Salticidae,Messua,limbata,,Banks,1898,1,"USA, Mexico"
30777,urn:lsid:nmbe.ch:spidersp:034606,Salticidae,Messua,pura,,Bryant,1948,1,Mexico
30778,urn:lsid:nmbe.ch:spidersp:034607,Salticidae,Messua,tridentata,,F. O. Pickard-Cambridge,1901,1,Mexico
30783,urn:lsid:nmbe.ch:spidersp:034614,Salticidae,Metacyrba,taeniola,,Hentz,1846,1,"USA, Mexico"
30784,urn:lsid:nmbe.ch:spidersp:039431,Salticidae,Metacyrba,taeniola,similis,Banks,1904,0,"USA, Mexico"
30785,urn:lsid:nmbe.ch:spidersp:035201,Salticidae,Metacyrba,venusta,,Chickering,1946,1,Mexico to Venezuela
30788,urn:lsid:nmbe.ch:spidersp:034617,Salticidae,Metaphidippus,apicalis,,F. O. Pickard-Cambridge,1901,0,Mexico
30792,urn:lsid:nmbe.ch:spidersp:034621,Salticidae,Metaphidippus,carmenensis,,Chamberlin,1924,1,"USA, Mexico"
30794,urn:lsid:nmbe.ch:spidersp:034623,Salticidae,Metaphidippus,chera,,Chamberlin,1924,1,"USA, Mexico"
30800,urn:lsid:nmbe.ch:spidersp:034629,Salticidae,Metaphidippus,diplacis,,Chamberlin,1924,1,"USA, Mexico"
30801,urn:lsid:nmbe.ch:spidersp:034630,Salticidae,Metaphidippus,dubitabilis,,G. W. Peckham & E. G. Peckham,1896,1,Mexico
30805,urn:lsid:nmbe.ch:spidersp:034634,Salticidae,Messua,felix,,G. W. Peckham & E. G. Peckham,1901,1,"USA, Mexico. Introduced to Hawaii"
30809,urn:lsid:nmbe.ch:spidersp:034638,Salticidae,Metaphidippus,gratus,,Bryant,1948,0,Mexico
30815,urn:lsid:nmbe.ch:spidersp:034644,Salticidae,Metaphidippus,lanceolatus,,F. O. Pickard-Cambridge,1901,0,Mexico to Costa Rica
30819,urn:lsid:nmbe.ch:spidersp:034649,Salticidae,Metaphidippus,nigropictus,,F. O. Pickard-Cambridge,1901,0,Mexico
30853,urn:lsid:nmbe.ch:spidersp:036701,Salticidae,Mexigonus,arizonensis,,Banks,1904,1,"USA, Mexico"
30854,urn:lsid:nmbe.ch:spidersp:036705,Salticidae,Mexigonus,dentichelis,,F. O. Pickard-Cambridge,1901,1,Mexico
30855,urn:lsid:nmbe.ch:spidersp:036707,Salticidae,Mexigonus,minutus,,F. O. Pickard-Cambridge,1901,1,"USA, Mexico"
30956,urn:lsid:nmbe.ch:spidersp:034747,Salticidae,Myrmapana,centralis,,G. W. Peckham & E. G. Peckham,1892,1,Mexico to Panama
31153,urn:lsid:nmbe.ch:spidersp:034925,Salticidae,Nagaina,incunda,,G. W. Peckham & E. G. Peckham,1896,0,Mexico to Panama
31161,urn:lsid:nmbe.ch:spidersp:033550,Salticidae,Naphrys,acerba,,G. W. Peckham & E. G. Peckham,1909,1,"USA, Mexico"
31276,urn:lsid:nmbe.ch:spidersp:035018,Salticidae,Nycerella,delecta,,G. W. Peckham & E. G. Peckham,1896,1,Mexico to Panama
31407,urn:lsid:nmbe.ch:spidersp:035096,Salticidae,Pachomius,dybowskii,,Taczanowski,1871,1,"Mexico, Guatemala, Panama, Grenada, Colombia, Venezuela, Trinidad and Tobago, Guyana, French Guiana, Ecuador, Brazil"
31511,urn:lsid:nmbe.ch:spidersp:035166,Salticidae,Paradamoetas,carus,,G. W. Peckham & E. G. Peckham,1892,1,Mexico to El Salvador
31531,urn:lsid:nmbe.ch:spidersp:035183,Salticidae,Paramarpissa,albopilosa,,Banks,1902,1,"USA, Mexico"
31532,urn:lsid:nmbe.ch:spidersp:035184,Salticidae,Paramarpissa,griswoldi,,Logunov & Cutler,1999,0,"USA, Mexico"
31533,urn:lsid:nmbe.ch:spidersp:035185,Salticidae,Paramarpissa,laeta,,Logunov & Cutler,1999,0,Mexico
31534,urn:lsid:nmbe.ch:spidersp:035186,Salticidae,Paramarpissa,piratica,,G. W. Peckham & E. G. Peckham,1888,1,"USA, Mexico"
31535,urn:lsid:nmbe.ch:spidersp:035187,Salticidae,Paramarpissa,sarta,,Logunov & Cutler,1999,0,Mexico
31536,urn:lsid:nmbe.ch:spidersp:035188,Salticidae,Paramarpissa,tibialis,,F. O. Pickard-Cambridge,1901,0,Mexico
31540,urn:lsid:nmbe.ch:spidersp:033223,Salticidae,Paraphidippus,disjunctus,,Banks,1898,1,Mexico to Costa Rica
31542,urn:lsid:nmbe.ch:spidersp:035458,Salticidae,Paraphidippus,fulgidus,,C. L. Koch,1846,1,Mexico
31543,urn:lsid:nmbe.ch:spidersp:033227,Salticidae,Paraphidippus,funebris,,Banks,1898,1,Mexico to Costa Rica
31544,urn:lsid:nmbe.ch:spidersp:035459,Salticidae,Paraphidippus,fuscipes,,C. L. Koch,1846,1,Mexico
31546,urn:lsid:nmbe.ch:spidersp:033229,Salticidae,Paraphidippus,inermis,,F. O. Pickard-Cambridge,1901,0,Mexico to Costa Rica
31547,urn:lsid:nmbe.ch:spidersp:033230,Salticidae,Paraphidippus,laniipes,,F. O. Pickard-Cambridge,1901,0,Mexico
31549,urn:lsid:nmbe.ch:spidersp:033232,Salticidae,Paraphidippus,mexicanus,,G. W. Peckham & E. G. Peckham,1888,1,Mexico
31550,urn:lsid:nmbe.ch:spidersp:033234,Salticidae,Paraphidippus,nigropilosus,,Banks,1898,1,Mexico
31551,urn:lsid:nmbe.ch:spidersp:035477,Salticidae,Paraphidippus,nitens,,C. L. Koch,1846,1,Mexico
31568,urn:lsid:nmbe.ch:spidersp:035205,Salticidae,Peckhamia,americana,,G. W. Peckham & E. G. Peckham,1892,1,"USA, Mexico, Hispaniola"
31576,urn:lsid:nmbe.ch:spidersp:035212,Salticidae,Pelegrina,aeneola,,Curtis,1892,1,"Canada, USA, Mexico"
31577,urn:lsid:nmbe.ch:spidersp:035213,Salticidae,Pelegrina,arizonensis,,G. W. Peckham & E. G. Peckham,1901,1,"Canada, USA, Mexico"
31579,urn:lsid:nmbe.ch:spidersp:035215,Salticidae,Pelegrina,bicuspidata,,F. O. Pickard-Cambridge,1901,1,"Mexico, Guatemala"
31580,urn:lsid:nmbe.ch:spidersp:035216,Salticidae,Pelegrina,bunites,,Maddison,1996,0,"USA, Mexico"
31581,urn:lsid:nmbe.ch:spidersp:035217,Salticidae,Pelegrina,chaimona,,Maddison,1996,0,"USA, Mexico"
31583,urn:lsid:nmbe.ch:spidersp:035219,Salticidae,Pelegrina,clavator,,Maddison,1996,0,Mexico
31586,urn:lsid:nmbe.ch:spidersp:035222,Salticidae,Pelegrina,edrilana,,Maddison,1996,0,Mexico
31590,urn:lsid:nmbe.ch:spidersp:035226,Salticidae,Pelegrina,furcata,,F. O. Pickard-Cambridge,1901,1,"USA, Mexico"
31595,urn:lsid:nmbe.ch:spidersp:035231,Salticidae,Pelegrina,kastoni,,Maddison,1996,0,"USA, Mexico"
31597,urn:lsid:nmbe.ch:spidersp:035233,Salticidae,Pelegrina,morelos,,Maddison,1996,0,Mexico
31598,urn:lsid:nmbe.ch:spidersp:035234,Salticidae,Pelegrina,neoleonis,,Maddison,1996,0,Mexico
31599,urn:lsid:nmbe.ch:spidersp:035235,Salticidae,Pelegrina,ochracea,,F. O. Pickard-Cambridge,1901,1,"Mexico, Guatemala"
31600,urn:lsid:nmbe.ch:spidersp:035236,Salticidae,Pelegrina,orestes,,Maddison,1996,0,"USA, Mexico"
